IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.243.91.58,2083,TRUE,HKG,Asia Pacific,Hong Kong,81 ms,9502 kB/s
47.76.49.246,2053,TRUE,HKG,Asia Pacific,Hong Kong,71 ms,9500 kB/s
47.76.37.57,8443,TRUE,HKG,Asia Pacific,Hong Kong,75 ms,9355 kB/s
8.210.48.107,2083,TRUE,HKG,Asia Pacific,Hong Kong,94 ms,9349 kB/s
47.76.32.108,8443,TRUE,HKG,Asia Pacific,Hong Kong,109 ms,9175 kB/s
8.219.100.168,2053,TRUE,SIN,Asia Pacific,Singapore,215 ms,9083 kB/s
8.210.175.109,8443,TRUE,HKG,Asia Pacific,Hong Kong,77 ms,9077 kB/s
47.76.32.108,2096,TRUE,HKG,Asia Pacific,Hong Kong,94 ms,9061 kB/s
8.217.127.73,2053,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,9016 kB/s
47.76.178.146,2083,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,8968 kB/s
8.217.248.220,2083,TRUE,HKG,Asia Pacific,Hong Kong,77 ms,8923 kB/s
8.210.48.107,2087,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,8910 kB/s
3.120.144.20,8080,TRUE,FRA,Europe,Frankfurt,182 ms,8795 kB/s
47.243.60.150,2053,TRUE,HKG,Asia Pacific,Hong Kong,90 ms,8737 kB/s
8.217.250.222,2096,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,8728 kB/s
47.242.54.157,2087,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,8680 kB/s
47.243.91.58,2053,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,8551 kB/s
8.210.175.109,2087,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,8517 kB/s
8.222.183.242,2087,TRUE,SIN,Asia Pacific,Singapore,218 ms,8471 kB/s
47.242.36.78,2083,TRUE,HKG,Asia Pacific,Hong Kong,89 ms,8452 kB/s
8.218.204.128,2053,TRUE,HKG,Asia Pacific,Hong Kong,54 ms,8364 kB/s
8.210.3.24,2096,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,8360 kB/s
8.219.104.37,2096,TRUE,SIN,Asia Pacific,Singapore,214 ms,8350 kB/s
8.219.0.162,2053,TRUE,SIN,Asia Pacific,Singapore,226 ms,8341 kB/s
47.243.234.9,2087,TRUE,HKG,Asia Pacific,Hong Kong,131 ms,8325 kB/s
8.217.147.230,2087,TRUE,HKG,Asia Pacific,Hong Kong,100 ms,8317 kB/s
8.218.142.253,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,8283 kB/s
8.217.164.10,2087,TRUE,HKG,Asia Pacific,Hong Kong,104 ms,8262 kB/s
8.219.110.81,2096,TRUE,SIN,Asia Pacific,Singapore,219 ms,8241 kB/s
8.210.245.224,2083,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,8218 kB/s
8.219.117.198,2053,TRUE,SIN,Asia Pacific,Singapore,219 ms,8200 kB/s
47.243.74.220,2083,TRUE,HKG,Asia Pacific,Hong Kong,88 ms,8197 kB/s
47.243.86.79,8443,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,8188 kB/s
8.210.39.96,2053,TRUE,HKG,Asia Pacific,Hong Kong,71 ms,8172 kB/s
47.242.54.157,8443,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,8168 kB/s
8.219.110.81,2053,TRUE,SIN,Asia Pacific,Singapore,227 ms,8155 kB/s
8.222.208.38,2087,TRUE,SIN,Asia Pacific,Singapore,221 ms,8109 kB/s
8.222.214.231,2053,TRUE,SIN,Asia Pacific,Singapore,217 ms,8020 kB/s
8.218.143.10,2087,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,7972 kB/s
47.243.42.219,2083,TRUE,HKG,Asia Pacific,Hong Kong,75 ms,7897 kB/s
8.218.2.181,2053,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,7763 kB/s
18.168.254.65,8443,TRUE,LHR,Europe,London,212 ms,7757 kB/s
8.210.192.93,2096,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,7704 kB/s
8.218.143.10,2096,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,7673 kB/s
47.76.77.103,2096,TRUE,HKG,Asia Pacific,Hong Kong,75 ms,7646 kB/s
8.219.99.169,2083,TRUE,SIN,Asia Pacific,Singapore,221 ms,7614 kB/s
47.243.169.63,2087,TRUE,HKG,Asia Pacific,Hong Kong,101 ms,7613 kB/s
8.222.244.192,2087,TRUE,SIN,Asia Pacific,Singapore,218 ms,7589 kB/s
47.76.178.146,8443,TRUE,HKG,Asia Pacific,Hong Kong,88 ms,7586 kB/s
47.243.86.79,2087,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,7570 kB/s
8.210.192.93,8443,TRUE,HKG,Asia Pacific,Hong Kong,90 ms,7543 kB/s
8.219.147.58,8443,TRUE,SIN,Asia Pacific,Singapore,209 ms,7540 kB/s
8.219.114.201,8443,TRUE,SIN,Asia Pacific,Singapore,251 ms,7504 kB/s
47.243.139.85,8443,TRUE,HKG,Asia Pacific,Hong Kong,77 ms,7493 kB/s
47.243.169.63,2053,TRUE,HKG,Asia Pacific,Hong Kong,93 ms,7481 kB/s
47.242.202.230,2096,TRUE,HKG,Asia Pacific,Hong Kong,73 ms,7461 kB/s
8.222.191.138,2053,TRUE,SIN,Asia Pacific,Singapore,229 ms,7415 kB/s
8.210.9.129,2083,TRUE,HKG,Asia Pacific,Hong Kong,81 ms,7380 kB/s
8.219.120.87,2083,TRUE,SIN,Asia Pacific,Singapore,267 ms,7377 kB/s
8.222.249.190,2053,TRUE,SIN,Asia Pacific,Singapore,207 ms,7255 kB/s
47.243.74.220,8443,TRUE,HKG,Asia Pacific,Hong Kong,90 ms,7234 kB/s
35.177.209.223,443,TRUE,LHR,Europe,London,196 ms,7233 kB/s
47.76.49.246,8443,TRUE,HKG,Asia Pacific,Hong Kong,127 ms,7233 kB/s
8.222.179.231,2083,TRUE,SIN,Asia Pacific,Singapore,225 ms,7163 kB/s
47.243.206.150,2096,TRUE,HKG,Asia Pacific,Hong Kong,87 ms,7155 kB/s
8.219.191.110,2087,TRUE,SIN,Asia Pacific,Singapore,232 ms,7153 kB/s
47.236.167.231,2087,TRUE,SIN,Asia Pacific,Singapore,213 ms,7133 kB/s
8.210.192.93,2083,TRUE,HKG,Asia Pacific,Hong Kong,77 ms,7129 kB/s
8.219.174.213,2083,TRUE,SIN,Asia Pacific,Singapore,209 ms,7115 kB/s
8.219.111.175,2096,TRUE,SIN,Asia Pacific,Singapore,209 ms,7100 kB/s
8.217.127.73,2087,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,7075 kB/s
8.210.34.188,2083,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,7073 kB/s
47.76.77.103,2053,TRUE,HKG,Asia Pacific,Hong Kong,91 ms,7067 kB/s
8.222.214.231,2087,TRUE,SIN,Asia Pacific,Singapore,233 ms,7062 kB/s
8.217.159.210,2083,TRUE,HKG,Asia Pacific,Hong Kong,96 ms,7054 kB/s
8.219.142.191,2053,TRUE,SIN,Asia Pacific,Singapore,218 ms,7030 kB/s
8.222.156.242,2096,TRUE,SIN,Asia Pacific,Singapore,208 ms,7013 kB/s
8.219.78.1,2083,TRUE,SIN,Asia Pacific,Singapore,221 ms,7013 kB/s
8.219.111.175,2053,TRUE,SIN,Asia Pacific,Singapore,219 ms,7009 kB/s
8.219.6.150,8443,TRUE,SIN,Asia Pacific,Singapore,223 ms,6952 kB/s
8.219.142.191,2083,TRUE,SIN,Asia Pacific,Singapore,220 ms,6950 kB/s
8.219.83.71,2096,TRUE,SIN,Asia Pacific,Singapore,212 ms,6946 kB/s
8.219.174.142,2087,TRUE,SIN,Asia Pacific,Singapore,215 ms,6911 kB/s
47.236.164.215,2083,TRUE,SIN,Asia Pacific,Singapore,213 ms,6891 kB/s
8.222.164.209,2083,TRUE,SIN,Asia Pacific,Singapore,212 ms,6873 kB/s
47.243.234.9,2053,TRUE,HKG,Asia Pacific,Hong Kong,140 ms,6869 kB/s
47.243.107.148,2083,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,6851 kB/s
8.217.250.222,2053,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,6842 kB/s
8.219.49.65,2087,TRUE,SIN,Asia Pacific,Singapore,218 ms,6840 kB/s
8.222.134.170,2096,TRUE,SIN,Asia Pacific,Singapore,224 ms,6807 kB/s
8.219.111.175,2087,TRUE,SIN,Asia Pacific,Singapore,216 ms,6802 kB/s
47.243.86.79,2096,TRUE,HKG,Asia Pacific,Hong Kong,71 ms,6791 kB/s
8.219.113.232,2053,TRUE,SIN,Asia Pacific,Singapore,216 ms,6760 kB/s
8.222.214.231,2083,TRUE,SIN,Asia Pacific,Singapore,218 ms,6756 kB/s
47.76.159.146,2053,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,6755 kB/s
47.245.102.52,2087,TRUE,SIN,Asia Pacific,Singapore,251 ms,6753 kB/s
47.236.253.41,8443,TRUE,SIN,Asia Pacific,Singapore,257 ms,6743 kB/s
8.219.4.122,2083,TRUE,SIN,Asia Pacific,Singapore,220 ms,6720 kB/s
47.243.183.127,2096,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,6713 kB/s
47.245.105.224,8443,TRUE,SIN,Asia Pacific,Singapore,236 ms,6700 kB/s
8.219.117.198,8443,TRUE,SIN,Asia Pacific,Singapore,235 ms,6692 kB/s
47.236.202.91,2096,TRUE,SIN,Asia Pacific,Singapore,217 ms,6683 kB/s
8.219.147.58,2096,TRUE,SIN,Asia Pacific,Singapore,215 ms,6678 kB/s
8.219.111.175,8443,TRUE,SIN,Asia Pacific,Singapore,224 ms,6658 kB/s
47.242.174.27,2053,TRUE,HKG,Asia Pacific,Hong Kong,82 ms,6648 kB/s
47.237.95.146,2087,TRUE,SIN,Asia Pacific,Singapore,218 ms,6635 kB/s
8.217.147.230,2083,TRUE,HKG,Asia Pacific,Hong Kong,101 ms,6634 kB/s
8.219.193.202,2096,TRUE,SIN,Asia Pacific,Singapore,211 ms,6623 kB/s
8.210.34.188,2053,TRUE,HKG,Asia Pacific,Hong Kong,77 ms,6613 kB/s
47.242.157.96,8443,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,6607 kB/s
8.218.143.10,2083,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,6602 kB/s
8.219.126.240,2083,TRUE,SIN,Asia Pacific,Singapore,216 ms,6572 kB/s
8.218.204.128,2096,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,6552 kB/s
47.237.94.140,2083,TRUE,SIN,Asia Pacific,Singapore,205 ms,6526 kB/s
47.243.183.127,8443,TRUE,HKG,Asia Pacific,Hong Kong,80 ms,6501 kB/s
8.219.114.201,2096,TRUE,SIN,Asia Pacific,Singapore,217 ms,6482 kB/s
47.236.167.231,2053,TRUE,SIN,Asia Pacific,Singapore,229 ms,6474 kB/s
8.219.199.220,2087,TRUE,SIN,Asia Pacific,Singapore,218 ms,6464 kB/s
8.219.11.158,2087,TRUE,SIN,Asia Pacific,Singapore,221 ms,6432 kB/s
8.219.98.13,2087,TRUE,SIN,Asia Pacific,Singapore,217 ms,6428 kB/s
47.237.14.220,2087,TRUE,SIN,Asia Pacific,Singapore,225 ms,6416 kB/s
13.40.87.247,443,TRUE,LHR,Europe,London,207 ms,6387 kB/s
8.219.229.190,8443,TRUE,SIN,Asia Pacific,Singapore,215 ms,6383 kB/s
8.222.156.242,2087,TRUE,SIN,Asia Pacific,Singapore,203 ms,6346 kB/s
8.219.114.201,2083,TRUE,SIN,Asia Pacific,Singapore,209 ms,6335 kB/s
8.222.164.209,2053,TRUE,SIN,Asia Pacific,Singapore,220 ms,6333 kB/s
18.167.194.154,443,TRUE,HKG,Asia Pacific,Hong Kong,137 ms,6331 kB/s
47.237.95.146,2096,TRUE,SIN,Asia Pacific,Singapore,210 ms,6330 kB/s
47.236.174.206,2096,TRUE,SIN,Asia Pacific,Singapore,218 ms,6328 kB/s
8.210.245.224,2096,TRUE,HKG,Asia Pacific,Hong Kong,84 ms,6323 kB/s
8.219.248.47,2083,TRUE,SIN,Asia Pacific,Singapore,210 ms,6307 kB/s
8.219.126.240,8443,TRUE,SIN,Asia Pacific,Singapore,218 ms,6295 kB/s
8.219.60.54,2053,TRUE,SIN,Asia Pacific,Singapore,210 ms,6292 kB/s
8.219.117.198,2096,TRUE,SIN,Asia Pacific,Singapore,221 ms,6291 kB/s
8.219.200.145,2083,TRUE,SIN,Asia Pacific,Singapore,228 ms,6266 kB/s
8.222.191.138,2087,TRUE,SIN,Asia Pacific,Singapore,207 ms,6260 kB/s
47.242.202.230,8443,TRUE,HKG,Asia Pacific,Hong Kong,83 ms,6228 kB/s
8.219.248.47,8443,TRUE,SIN,Asia Pacific,Singapore,216 ms,6226 kB/s
8.222.193.65,2053,TRUE,SIN,Asia Pacific,Singapore,207 ms,6220 kB/s
8.219.177.205,8443,TRUE,SIN,Asia Pacific,Singapore,219 ms,6197 kB/s
8.219.142.191,8443,TRUE,SIN,Asia Pacific,Singapore,218 ms,6197 kB/s
47.76.178.146,2053,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,6192 kB/s
8.219.78.188,2096,TRUE,SIN,Asia Pacific,Singapore,220 ms,6178 kB/s
8.210.34.188,2096,TRUE,HKG,Asia Pacific,Hong Kong,72 ms,6146 kB/s
47.243.107.148,2053,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,6097 kB/s
47.242.252.237,8443,TRUE,HKG,Asia Pacific,Hong Kong,105 ms,6070 kB/s
8.219.229.190,2087,TRUE,SIN,Asia Pacific,Singapore,218 ms,6054 kB/s
8.219.177.205,2096,TRUE,SIN,Asia Pacific,Singapore,211 ms,6038 kB/s
8.222.162.45,2087,TRUE,SIN,Asia Pacific,Singapore,237 ms,6036 kB/s
47.245.102.52,2053,TRUE,SIN,Asia Pacific,Singapore,234 ms,5999 kB/s
47.243.169.63,8443,TRUE,HKG,Asia Pacific,Hong Kong,92 ms,5997 kB/s
47.237.8.82,2087,TRUE,SIN,Asia Pacific,Singapore,208 ms,5992 kB/s
47.237.95.13,2087,TRUE,SIN,Asia Pacific,Singapore,221 ms,5989 kB/s
47.242.36.78,2096,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,5983 kB/s
47.237.92.26,2087,TRUE,SIN,Asia Pacific,Singapore,223 ms,5961 kB/s
8.219.117.198,2083,TRUE,SIN,Asia Pacific,Singapore,222 ms,5961 kB/s
8.210.245.224,8443,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,5951 kB/s
47.236.93.176,2087,TRUE,SIN,Asia Pacific,Singapore,217 ms,5944 kB/s
8.210.48.107,8443,TRUE,HKG,Asia Pacific,Hong Kong,91 ms,5937 kB/s
8.222.134.170,2087,TRUE,SIN,Asia Pacific,Singapore,206 ms,5935 kB/s
8.222.150.197,2083,TRUE,SIN,Asia Pacific,Singapore,212 ms,5932 kB/s
47.76.37.57,2096,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,5915 kB/s
8.219.191.40,2053,TRUE,SIN,Asia Pacific,Singapore,215 ms,5905 kB/s
8.219.194.170,8443,TRUE,SIN,Asia Pacific,Singapore,235 ms,5896 kB/s
8.222.156.242,8443,TRUE,SIN,Asia Pacific,Singapore,209 ms,5895 kB/s
47.76.77.103,2087,TRUE,HKG,Asia Pacific,Hong Kong,128 ms,5888 kB/s
8.222.181.117,2083,TRUE,SIN,Asia Pacific,Singapore,216 ms,5872 kB/s
8.217.121.207,2096,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,5825 kB/s
8.210.174.156,2083,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,5809 kB/s
3.123.255.167,443,TRUE,FRA,Europe,Frankfurt,183 ms,5801 kB/s
8.217.147.230,8443,TRUE,HKG,Asia Pacific,Hong Kong,99 ms,5791 kB/s
47.242.171.94,2053,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,5767 kB/s
8.219.1.92,2053,TRUE,SIN,Asia Pacific,Singapore,226 ms,5766 kB/s
47.236.165.25,2083,TRUE,SIN,Asia Pacific,Singapore,215 ms,5762 kB/s
8.218.142.253,8443,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,5761 kB/s
47.236.158.158,2053,TRUE,SIN,Asia Pacific,Singapore,258 ms,5759 kB/s
8.219.229.190,2096,TRUE,SIN,Asia Pacific,Singapore,247 ms,5755 kB/s
47.242.36.78,2087,TRUE,HKG,Asia Pacific,Hong Kong,85 ms,5752 kB/s
8.222.184.198,2083,TRUE,SIN,Asia Pacific,Singapore,237 ms,5748 kB/s
47.236.254.120,2083,TRUE,SIN,Asia Pacific,Singapore,213 ms,5739 kB/s
47.242.17.250,8443,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,5723 kB/s
47.236.202.91,8443,TRUE,SIN,Asia Pacific,Singapore,219 ms,5722 kB/s
8.219.199.220,8443,TRUE,SIN,Asia Pacific,Singapore,210 ms,5692 kB/s
8.210.3.24,2053,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,5684 kB/s
8.222.181.117,2096,TRUE,SIN,Asia Pacific,Singapore,225 ms,5675 kB/s
8.218.142.253,2087,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,5675 kB/s
8.217.232.246,2083,TRUE,HKG,Asia Pacific,Hong Kong,55 ms,5637 kB/s
47.243.27.217,2087,TRUE,HKG,Asia Pacific,Hong Kong,72 ms,5634 kB/s
8.219.98.13,8443,TRUE,SIN,Asia Pacific,Singapore,217 ms,5633 kB/s
8.222.165.117,2087,TRUE,SIN,Asia Pacific,Singapore,236 ms,5618 kB/s
8.219.51.211,2087,TRUE,SIN,Asia Pacific,Singapore,213 ms,5617 kB/s
8.222.183.242,8443,TRUE,SIN,Asia Pacific,Singapore,247 ms,5614 kB/s
54.194.162.247,443,TRUE,DUB,Europe,Dublin,207 ms,5604 kB/s
47.236.170.225,8443,TRUE,SIN,Asia Pacific,Singapore,223 ms,5595 kB/s
8.219.153.237,2096,TRUE,NRT,Asia Pacific,Tokyo,289 ms,5580 kB/s
8.219.60.54,2083,TRUE,SIN,Asia Pacific,Singapore,211 ms,5560 kB/s
47.237.84.173,2087,TRUE,SIN,Asia Pacific,Singapore,219 ms,5551 kB/s
8.219.147.58,2087,TRUE,SIN,Asia Pacific,Singapore,221 ms,5544 kB/s
47.236.93.176,2053,TRUE,SIN,Asia Pacific,Singapore,221 ms,5522 kB/s
47.76.77.103,2083,TRUE,HKG,Asia Pacific,Hong Kong,85 ms,5520 kB/s
47.243.5.154,8443,TRUE,HKG,Asia Pacific,Hong Kong,96 ms,5505 kB/s
47.236.180.51,8443,TRUE,SIN,Asia Pacific,Singapore,215 ms,5500 kB/s
8.219.114.201,2053,TRUE,SIN,Asia Pacific,Singapore,253 ms,5482 kB/s
8.219.174.213,2053,TRUE,SIN,Asia Pacific,Singapore,209 ms,5437 kB/s
47.236.174.206,2083,TRUE,SIN,Asia Pacific,Singapore,245 ms,5436 kB/s
47.245.105.224,2053,TRUE,SIN,Asia Pacific,Singapore,245 ms,5435 kB/s
8.219.191.40,2087,TRUE,SIN,Asia Pacific,Singapore,208 ms,5427 kB/s
47.237.0.31,2087,TRUE,SIN,Asia Pacific,Singapore,219 ms,5420 kB/s
8.219.194.170,2096,TRUE,SIN,Asia Pacific,Singapore,241 ms,5406 kB/s
8.222.164.209,2096,TRUE,SIN,Asia Pacific,Singapore,252 ms,5389 kB/s
47.236.180.24,2087,TRUE,SIN,Asia Pacific,Singapore,223 ms,5381 kB/s
47.236.254.120,2096,TRUE,SIN,Asia Pacific,Singapore,236 ms,5373 kB/s
20.220.204.217,443,TRUE,YYZ,North America,Toronto,227 ms,5359 kB/s
47.236.102.102,2053,TRUE,SIN,Asia Pacific,Singapore,210 ms,5358 kB/s
47.236.10.182,8443,TRUE,SIN,Asia Pacific,Singapore,228 ms,5345 kB/s
8.219.209.14,2083,TRUE,SIN,Asia Pacific,Singapore,260 ms,5334 kB/s
8.219.153.237,2053,TRUE,NRT,Asia Pacific,Tokyo,284 ms,5332 kB/s
47.236.10.182,2083,TRUE,SIN,Asia Pacific,Singapore,229 ms,5328 kB/s
8.219.97.50,2096,TRUE,SIN,Asia Pacific,Singapore,220 ms,5323 kB/s
47.243.169.63,2083,TRUE,HKG,Asia Pacific,Hong Kong,105 ms,5317 kB/s
47.236.125.62,2087,TRUE,NRT,Asia Pacific,Tokyo,288 ms,5302 kB/s
47.243.139.85,2053,TRUE,HKG,Asia Pacific,Hong Kong,76 ms,5296 kB/s
